"deaths_location","week_start","avg_weekly_cases","avg_weekly_deaths"
"Montenegro","2022-10-31","54.57","0.29"
"Latvia","2022-10-31","410.57","1.57"
"Bolivia","2022-10-31","23.43","0.14"
"Maldives","2022-10-31","12.86","0.14"
"Russia","2022-10-31","5732.14","69.14"
"Belgium","2022-10-31","656.57","5.71"
"Lower middle income","2022-10-31","10582.57","312.71"
"Spain","2022-10-31","2553.57","20.00"
"Guam","2022-10-31","6.71","0.14"
"Asia","2022-10-31","152054.86","470.86"
"Bosnia and Herzegovina","2022-10-31","22.14","1.57"
"Iraq","2022-10-31","51.00","0.14"
"Tunisia","2022-10-31","63.00","0.29"
"Upper middle income","2022-10-31","50640.00","248.00"
"Greece","2022-10-31","7633.71","23.43"
"Peru","2022-10-31","802.14","17.14"
"Angola","2022-10-31","50.00","0.14"
"Lebanon","2022-10-31","73.00","1.14"
"Bangladesh","2022-11-07","48.29","0.14"
"Singapore","2022-11-07","2395.86","1.14"
"Slovenia","2022-11-07","623.86","3.57"
"United States","2022-11-07","40413.86","327.14"
"Panama","2022-11-07","196.00","0.86"
"Costa Rica","2022-11-07","349.71","1.43"
"Lower middle income","2022-11-07","10703.00","82.43"
"Kuwait","2022-11-07","64.43","0.29"
"Sudan","2022-11-07","9.14","1.29"
"Brazil","2022-11-07","8447.86","46.29"
"Kazakhstan","2022-11-07","51.86","0.14"
"Luxembourg","2022-11-07","125.71","0.57"
"Lithuania","2022-11-07","246.29","1.57"
"Sweden","2022-11-07","537.00","13.43"
"Sri Lanka","2022-11-07","12.71","0.29"
"Japan","2022-11-07","72814.14","79.71"
"Africa","2022-11-07","1629.29","5.00"
"Jamaica","2022-11-07","19.43","6.86"
"Uruguay","2022-11-07","116.57","0.43"
"Switzerland","2022-11-07","2936.14","1.71"
"Italy","2022-11-07","25883.00","69.14"
"Malaysia","2022-11-07","3052.29","8.71"
"Albania","2022-11-07","14.00","0.14"
"Israel","2022-11-07","1024.71","2.29"
"Brunei","2022-11-07","608.86","0.14"
"Lebanon","2022-11-07","61.71","1.00"
"Ireland","2022-11-07","257.86","4.71"
"Russia","2022-11-07","5157.43","62.29"
"Peru","2022-11-07","1400.00","15.71"
"Spain","2022-11-07","3128.00","20.14"
"Iran","2022-11-07","116.43","2.57"
"Maldives","2022-11-07","13.57","0.14"
"Angola","2022-11-07","39.86","0.43"
"Bolivia","2022-11-07","26.00","0.43"
"Indonesia","2022-11-07","5744.57","39.29"
"Bulgaria","2022-11-07","334.29","5.29"
"Serbia","2022-11-07","660.00","4.71"
"India","2022-11-07","828.29","4.43"
"Martinique","2022-11-07","11.57","0.43"
"Thailand","2022-11-07","452.29","6.00"
"Afghanistan","2022-11-07","116.14","0.43"
"Argentina","2022-11-07","212.29","1.14"
"Hungary","2022-11-07","650.86","13.14"
"Mexico","2022-11-07","628.71","2.71"
"Honduras","2022-11-07","20.57","0.14"
"Slovakia","2022-11-07","117.43","5.86"
"High income","2022-11-07","302593.29","1024.00"
"Canada","2022-11-07","2628.00","49.14"
"Guinea","2022-11-07","4.43","0.86"
"Guernsey","2022-11-07","13.71","0.14"
"South Korea","2022-11-07","51583.43","45.57"
"Saudi Arabia","2022-11-07","134.86","2.14"
"Trinidad and Tobago","2022-11-07","13.57","0.29"
"Aruba","2022-11-07","6.29","0.14"
"Guatemala","2022-11-07","404.71","2.14"
"Moldova","2022-11-07","49.57","0.86"
"Guam","2022-11-07","8.71","0.29"
"Belgium","2022-11-07","657.14","4.71"
"Bosnia and Herzegovina","2022-11-07","19.71","0.71"
"Mongolia","2022-11-07","276.00","0.14"
"Saint Lucia","2022-11-07","3.14","0.14"
"Montenegro","2022-11-07","34.71","0.14"
"Greece","2022-11-07","8771.14","19.71"
"Asia","2022-11-07","168480.29","277.00"
"Tunisia","2022-11-07","15.57","0.57"
"Upper middle income","2022-11-07","49261.43","236.29"
"Morocco","2022-11-07","85.14","0.29"
"Gibraltar","2022-11-07","6.43","0.29"
"Ghana","2022-11-07","11.14","0.14"
"Romania","2022-11-07","369.29","3.57"
"Germany","2022-11-07","28900.29","90.43"
"Venezuela","2022-11-07","30.71","0.43"
"South America","2022-11-07","17180.14","94.29"
"Australia","2022-11-07","10510.43","15.86"
"Turkey","2022-11-07","2185.57","5.00"
"Myanmar","2022-11-07","57.86","0.14"
"Cayman Islands","2022-11-07","14.00","0.14"
"France","2022-11-07","21706.71","57.86"
"Finland","2022-11-07","1793.29","29.29"
"Netherlands","2022-11-07","936.00","3.71"
"New Zealand","2022-11-07","2811.14","5.00"
"World","2022-11-07","363063.57","1346.14"
"European Union","2022-11-07","102461.00","392.14"
"Chile","2022-11-07","6662.86","27.71"
"Poland","2022-11-07","362.71","5.71"
"Europe","2022-11-07","116402.57","553.71"
"South Africa","2022-11-07","492.14","1.14"
"North America","2022-11-07","45768.14","395.00"
"Paraguay","2022-11-07","9.86","0.29"
"Ukraine","2022-11-07","1369.57","16.29"
"Austria","2022-11-07","3655.43","7.00"
"Estonia","2022-11-07","70.86","1.29"
"North Macedonia","2022-11-07","28.00","1.14"
"Portugal","2022-11-07","869.43","8.00"
"China","2022-11-07","23950.29","60.00"
"Ecuador","2022-11-07","108.57","0.14"
"Azerbaijan","2022-11-07","27.43","0.86"
"Norway","2022-11-07","130.14","7.43"
"Low income","2022-11-07","269.00","2.86"
"Denmark","2022-11-07","607.14","6.43"
"Democratic Republic of Congo","2022-11-07","53.43","0.29"
"Philippines","2022-11-07","1240.14","16.14"
"Puerto Rico","2022-11-07","928.14","2.86"
"Czechia","2022-11-07","744.86","8.86"
"Oceania","2022-11-07","13602.57","21.14"
"Bahrain","2022-11-07","250.29","0.29"
"United Kingdom","2022-11-07","3393.71","65.71"
"Cyprus","2022-11-07","517.86","1.43"
"Colombia","2022-11-07","146.71","1.71"
"Latvia","2022-11-07","363.00","2.00"
"Croatia","2022-11-07","213.29","4.71"
"Barbados","2022-11-07","17.29","0.57"
"Lebanon","2022-11-14","67.14","1.00"
"Cote d'Ivoire","2022-11-14","2.29","0.14"
"Mongolia","2022-11-14","382.43","0.14"
"Europe","2022-11-14","127555.29","547.29"
"Denmark","2022-11-14","550.86","5.43"
"Ireland","2022-11-14","223.57","4.71"
"Czechia","2022-11-14","589.00","5.57"
"Russia","2022-11-14","5182.43","61.43"
"Saudi Arabia","2022-11-14","84.43","2.00"
"Andorra","2022-11-14","22.86","0.14"
"Spain","2022-11-14","3168.86","24.71"
"North America","2022-11-14","44910.71","376.00"
"Austria","2022-11-14","3787.57","8.71"
"Asia","2022-11-14","177618.00","307.86"
"Mauritius","2022-11-14","643.43","0.14"
"Democratic Republic of Congo","2022-11-14","53.71","0.86"
"Upper middle income","2022-11-14","51373.00","225.43"
"Luxembourg","2022-11-14","154.86","0.43"
"Singapore","2022-11-14","1919.43","0.71"
"Iceland","2022-11-14","28.43","0.86"
"Hungary","2022-11-14","633.00","10.43"
"Greece","2022-11-14","8027.71","19.43"
"Puerto Rico","2022-11-14","1056.86","3.43"
"Montenegro","2022-11-14","26.86","0.14"
"France","2022-11-14","33192.57","73.43"
"Tunisia","2022-11-14","13.86","0.43"
"Iraq","2022-11-14","99.57","0.14"
"Zimbabwe","2022-11-14","42.14","0.14"
"Lithuania","2022-11-14","221.57","0.57"
"Switzerland","2022-11-14","3049.00","3.00"
"Reunion","2022-11-14","82.14","0.43"
"Chile","2022-11-14","5573.29","26.00"
"Estonia","2022-11-14","71.71","1.71"
"Jersey","2022-11-14","35.71","0.14"
"India","2022-11-14","564.50","6.14"
"Honduras","2022-11-14","14.57","0.29"
"Micronesia (country)","2022-11-14","0.29","0.43"
"Slovenia","2022-11-14","769.29","3.43"
"Curacao","2022-11-14","4.14","0.14"
"Jamaica","2022-11-14","7.43","3.14"
"Italy","2022-11-14","31573.29","77.14"
"North Macedonia","2022-11-14","27.00","1.29"
"Australia","2022-11-14","11915.29","16.57"
"Canada","2022-11-14","2181.86","43.00"
"Afghanistan","2022-11-14","83.00","0.29"
"Malaysia","2022-11-14","2640.29","6.71"
"Guinea","2022-11-14","1.29","0.14"
"Netherlands","2022-11-14","796.86","2.57"
"South Africa","2022-11-14","577.00","3.43"
"Pakistan","2022-11-14","42.86","0.14"
"Thailand","2022-11-14","565.29","9.86"
"Myanmar","2022-11-14","46.57","0.14"
"Vietnam","2022-11-14","394.71","0.43"
"Argentina","2022-11-14","315.14","0.86"
"Panama","2022-11-14","443.29","0.57"
"Costa Rica","2022-11-14","390.43","1.71"
"Croatia","2022-11-14","183.14","6.00"
"Sri Lanka","2022-11-14","12.57","1.00"
"Bermuda","2022-11-14","5.00","0.29"
"South Korea","2022-11-14","51980.29","51.00"
"United States","2022-11-14","39283.43","314.57"
"Serbia","2022-11-14","645.71","5.00"
"Bulgaria","2022-11-14","243.14","6.29"
"Cyprus","2022-11-14","533.71","1.14"
"Finland","2022-11-14","1722.14","23.29"
"Cape Verde","2022-11-14","19.86","0.14"
"South America","2022-11-14","21793.43","74.86"
"Indonesia","2022-11-14","6694.71","39.29"
"World","2022-11-14","389526.14","1334.86"
"Bangladesh","2022-11-14","28.71","0.43"
"Slovakia","2022-11-14","89.71","5.00"
"Portugal","2022-11-14","872.00","7.57"
"China","2022-11-14","22457.57","66.29"
"Lower middle income","2022-11-14","11333.86","81.14"
"Colombia","2022-11-14","185.43","2.71"
"Trinidad and Tobago","2022-11-14","20.71","0.86"
"Israel","2022-11-14","1260.71","3.29"
"European Union","2022-11-14","114098.00","396.57"
"Georgia","2022-11-14","153.86","0.43"
"Uruguay","2022-11-14","121.71","0.14"
"Aruba","2022-11-14","10.14","0.14"
"Venezuela","2022-11-14","67.29","0.14"
"United Kingdom","2022-11-14","3124.71","55.86"
"Sudan","2022-11-14","6.14","0.71"
"Guadeloupe","2022-11-14","55.57","0.29"
"Japan","2022-11-14","85420.57","101.57"
"Bolivia","2022-11-14","58.14","0.14"
"Guatemala","2022-11-14","418.29","2.86"
"Ukraine","2022-11-14","1045.29","14.71"
"New Zealand","2022-11-14","3126.43","4.00"
"Angola","2022-11-14","37.00","0.29"
"Africa","2022-11-14","1898.14","7.71"
"Mexico","2022-11-14","810.00","4.71"
"Ecuador","2022-11-14","311.29","0.43"
"Moldova","2022-11-14","39.71","0.86"
"Low income","2022-11-14","243.43","2.00"
"Azerbaijan","2022-11-14","33.57","1.57"
"High income","2022-11-14","326189.86","1025.43"
"Brazil","2022-11-14","13042.43","35.86"
"Germany","2022-11-14","24362.14","78.86"
"Guam","2022-11-14","18.29","0.14"
"Latvia","2022-11-14","330.29","0.71"
"Philippines","2022-11-14","1114.71","12.71"
"Belgium","2022-11-14","752.57","5.43"
"Peru","2022-11-14","2062.86","8.14"
"Maldives","2022-11-14","5.00","0.14"
"Bosnia and Herzegovina","2022-11-14","20.00","0.71"
"Bahrain","2022-11-14","211.29","0.29"
"Norway","2022-11-14","131.00","6.57"
"Iran","2022-11-14","52.14","2.14"
"Oceania","2022-11-14","15749.86","21.14"
"Paraguay","2022-11-14","3.14","0.43"
"Romania","2022-11-14","353.71","2.43"
"Poland","2022-11-14","361.86","9.14"
"Kenya","2022-11-14","86.29","0.86"
"Sweden","2022-11-14","518.86","12.43"
"Iran","2022-11-21","38.29","1.14"
"Ecuador","2022-11-21","372.43","0.14"
"Sweden","2022-11-21","604.43","13.29"
"High income","2022-11-21","356694.00","1120.57"
"Costa Rica","2022-11-21","362.57","1.00"
"Qatar","2022-11-21","256.29","0.14"
"Sri Lanka","2022-11-21","19.00","1.29"
"Mozambique","2022-11-21","4.86","0.29"
"Ireland","2022-11-21","221.57","4.14"
"Serbia","2022-11-21","572.00","3.14"
"Mongolia","2022-11-21","271.86","0.14"
"Japan","2022-11-21","100780.71","134.71"
"Denmark","2022-11-21","618.86","5.57"
"Bulgaria","2022-11-21","191.57","4.29"
"Morocco","2022-11-21","147.00","0.14"
"Guatemala","2022-11-21","728.43","1.14"
"Singapore","2022-11-21","1476.71","0.29"
"Croatia","2022-11-21","237.29","4.57"
"Russia","2022-11-21","5505.00","55.14"
"Mauritius","2022-11-21","677.14","0.14"
"Cyprus","2022-11-21","602.00","1.14"
"Czechia","2022-11-21","694.71","5.86"
"Europe","2022-11-21","135806.57","528.57"
"Guam","2022-11-21","30.57","0.29"
"Finland","2022-11-21","1664.14","21.14"
"Spain","2022-11-21","3111.86","24.86"
"Cape Verde","2022-11-21","21.43","0.14"
"Paraguay","2022-11-21","13.29","1.43"
"Asia","2022-11-21","191782.71","335.00"
"Angola","2022-11-21","24.71","0.14"
"Latvia","2022-11-21","446.29","1.00"
"Afghanistan","2022-11-21","83.43","0.29"
"Botswana","2022-11-21","22.14","0.43"
"Barbados","2022-11-21","124.43","0.43"
"Indonesia","2022-11-21","5982.43","42.43"
"Germany","2022-11-21","24348.86","90.43"
"South America","2022-11-21","32480.86","126.14"
"Upper middle income","2022-11-21","61645.29","250.86"
"Lithuania","2022-11-21","262.43","1.86"
"Norway","2022-11-21","143.86","7.00"
"Mexico","2022-11-21","1059.86","3.14"
"Greece","2022-11-21","7717.71","22.00"
"Portugal","2022-11-21","754.43","7.86"
"Malta","2022-11-21","10.57","0.14"
"Puerto Rico","2022-11-21","667.57","4.43"
"Peru","2022-11-21","4696.71","15.71"
"Slovenia","2022-11-21","964.57","3.71"
"Tunisia","2022-11-21","27.43","0.29"
"North America","2022-11-21","49159.43","433.57"
"Slovakia","2022-11-21","95.00","2.57"
"Iceland","2022-11-21","28.43","0.86"
"Iraq","2022-11-21","99.71","0.29"
"Moldova","2022-11-21","44.71","1.00"
"New Zealand","2022-11-21","3537.00","4.29"
"Switzerland","2022-11-21","2790.14","2.86"
"Trinidad and Tobago","2022-11-21","20.43","0.43"
"France","2022-11-21","40021.71","61.43"
"European Union","2022-11-21","122295.57","387.57"
"Israel","2022-11-21","1461.14","3.43"
"Estonia","2022-11-21","65.14","1.71"
"Chile","2022-11-21","4812.00","27.43"
"Madagascar","2022-11-21","29.29","0.14"
"Belgium","2022-11-21","950.00","3.71"
"Belize","2022-11-21","3.43","0.14"
"Lower middle income","2022-11-21","9963.00","84.86"
"Philippines","2022-11-21","1088.29","16.86"
"Luxembourg","2022-11-21","162.43","0.57"
"China","2022-11-21","20392.14","54.57"
"Africa","2022-11-21","1973.29","8.00"
"Georgia","2022-11-21","127.00","0.86"
"Jamaica","2022-11-21","7.86","1.71"
"Netherlands","2022-11-21","730.29","2.00"
"Guyana","2022-11-21","6.14","0.43"
"Austria","2022-11-21","4189.29","5.86"
"Canada","2022-11-21","2083.43","45.71"
"Curacao","2022-11-21","3.29","0.14"
"India","2022-11-21","363.86","5.43"
"Zimbabwe","2022-11-21","44.43","0.71"
"Italy","2022-11-21","32636.86","84.57"
"Low income","2022-11-21","215.43","1.57"
"Australia","2022-11-21","13985.29","22.00"
"Bolivia","2022-11-21","62.57","0.14"
"North Macedonia","2022-11-21","25.57","0.86"
"Hungary","2022-11-21","585.43","8.71"
"Venezuela","2022-11-21","67.29","0.29"
"Colombia","2022-11-21","301.71","2.00"
"Myanmar","2022-11-21","23.14","0.14"
"Azerbaijan","2022-11-21","38.57","0.57"
"Aruba","2022-11-21","10.57","0.14"
"Ukraine","2022-11-21","965.29","14.57"
"United Kingdom","2022-11-21","3272.86","54.14"
"Poland","2022-11-21","353.57","4.57"
"Panama","2022-11-21","919.29","1.00"
"Zambia","2022-11-21","5.00","0.29"
"Brunei","2022-11-21","645.00","0.86"
"Saudi Arabia","2022-11-21","53.29","1.57"
"Vietnam","2022-11-21","440.00","0.14"
"South Africa","2022-11-21","531.14","4.71"
"Uruguay","2022-11-21","141.14","1.00"
"Bangladesh","2022-11-21","22.86","0.14"
"Bosnia and Herzegovina","2022-11-21","18.71","1.43"
"Sudan","2022-11-21","1.71","0.57"
"World","2022-11-21","428893.14","1457.86"
"Argentina","2022-11-21","474.71","1.14"
"Malaysia","2022-11-21","2713.57","8.14"
"United States","2022-11-21","42881.57","374.14"
"Oceania","2022-11-21","17689.29","26.57"
"Thailand","2022-11-21","702.00","10.57"
"Bahrain","2022-11-21","146.57","0.43"
"Lebanon","2022-11-21","48.86","1.00"
"Brazil","2022-11-21","21429.71","76.43"
"South Korea","2022-11-21","53998.14","49.57"
"Serbia","2022-11-28","543.29","4.86"
"World","2022-11-28","465393.86","1426.86"
"Chile","2022-11-28","3998.57","26.57"
"Switzerland","2022-11-28","2662.00","2.71"
"South Africa","2022-11-28","281.86","5.14"
"European Union","2022-11-28","139630.57","426.43"
"Uruguay","2022-11-28","218.14","0.57"
"Suriname","2022-11-28","50.43","0.14"
"Zimbabwe","2022-11-28","56.57","0.86"
"Saudi Arabia","2022-11-28","45.14","2.00"
"Africa","2022-11-28","1719.00","7.14"
"Armenia","2022-11-28","17.00","0.14"
"Europe","2022-11-28","153903.14","564.29"
"Seychelles","2022-11-28","41.00","0.14"
"Reunion","2022-11-28","173.86","0.14"
"Madagascar","2022-11-28","32.71","0.14"
"Mauritius","2022-11-28","557.00","0.29"
"Honduras","2022-11-28","128.29","1.14"
"Guyana","2022-11-28","8.86","0.14"
"India","2022-11-28","261.43","2.29"
"United States","2022-11-28","43228.43","251.86"
"Pakistan","2022-11-28","46.43","0.29"
"Vietnam","2022-11-28","455.71","1.00"
"Portugal","2022-11-28","586.29","9.43"
"South Korea","2022-11-28","53058.14","50.86"
"Bulgaria","2022-11-28","159.14","3.14"
"Latvia","2022-11-28","393.86","1.86"
"Cyprus","2022-11-28","573.00","1.57"
"Indonesia","2022-11-28","4279.86","43.14"
"Trinidad and Tobago","2022-11-28","20.00","0.14"
"Slovakia","2022-11-28","101.86","1.71"
"Lower middle income","2022-11-28","7956.14","82.14"
"Canada","2022-11-28","2161.71","44.14"
"United Kingdom","2022-11-28","3729.14","52.29"
"Bosnia and Herzegovina","2022-11-28","14.57","0.43"
"Argentina","2022-11-28","1801.29","1.29"
"Guatemala","2022-11-28","814.29","1.29"
"Colombia","2022-11-28","464.57","2.29"
"Angola","2022-11-28","21.29","0.14"
"Panama","2022-11-28","1013.00","1.00"
"Moldova","2022-11-28","45.57","0.71"
"Philippines","2022-11-28","1066.57","18.71"
"Belgium","2022-11-28","1167.14","3.00"
"United States Virgin Islands","2022-11-28","7.14","0.14"
"Afghanistan","2022-11-28","81.14","0.14"
"Oceania","2022-11-28","20218.29","28.71"
"Bangladesh","2022-11-28","15.71","0.43"
"Iran","2022-11-28","39.00","0.57"
"Brazil","2022-11-28","26863.29","90.29"
"Mongolia","2022-11-28","153.00","0.14"
"Andorra","2022-11-28","56.43","0.14"
"Spain","2022-11-28","2757.57","24.14"
"Czechia","2022-11-28","802.29","6.00"
"Greece","2022-11-28","6349.43","21.43"
"Montenegro","2022-11-28","23.57","0.14"
"Puerto Rico","2022-11-28","1555.00","5.71"
"Upper middle income","2022-11-28","73854.14","269.71"
"Saint Lucia","2022-11-28","1.71","0.14"
"Iceland","2022-11-28","24.43","0.71"
"Iraq","2022-11-28","92.71","0.14"
"Lithuania","2022-11-28","385.57","0.86"
"Asia","2022-11-28","194679.71","372.43"
"Democratic Republic of Congo","2022-11-28","35.43","0.14"
"Singapore","2022-11-28","1217.71","0.43"
"Saint Pierre and Miquelon","2022-11-28","3.43","0.14"
"Morocco","2022-11-28","143.00","0.14"
"Denmark","2022-11-28","934.00","3.57"
"Mexico","2022-11-28","1821.29","8.71"
"Norway","2022-11-28","154.57","8.00"
"Russia","2022-11-28","6119.57","55.86"
"Ireland","2022-11-28","249.29","4.57"
"Romania","2022-11-28","341.00","3.29"
"Sweden","2022-11-28","937.43","15.43"
"Azerbaijan","2022-11-28","37.00","1.00"
"High income","2022-11-28","382618.29","1073.86"
"Germany","2022-11-28","26360.29","111.57"
"Peru","2022-11-28","8847.00","14.57"
"Ecuador","2022-11-28","526.86","0.29"
"Brunei","2022-11-28","502.71","0.14"
"Venezuela","2022-11-28","70.43","0.29"
"Georgia","2022-11-28","106.86","0.43"
"China","2022-11-28","20988.43","51.29"
"Israel","2022-11-28","1604.43","5.57"
"South America","2022-11-28","43180.00","138.14"
"Croatia","2022-11-28","251.14","6.71"
"North Macedonia","2022-11-28","23.14","0.57"
"Thailand","2022-11-28","612.00","15.00"
"Sri Lanka","2022-11-28","9.29","0.71"
"Poland","2022-11-28","441.57","4.86"
"Low income","2022-11-28","294.57","0.43"
"Malaysia","2022-11-28","2005.43","8.71"
"Australia","2022-11-28","15414.57","25.43"
"Austria","2022-11-28","4717.14","7.14"
"Bolivia","2022-11-28","148.29","0.43"
"France","2022-11-28","54888.29","65.43"
"Italy","2022-11-28","32541.71","96.14"
"Estonia","2022-11-28","76.29","1.29"
"Japan","2022-11-28","106914.14","168.57"
"Ukraine","2022-11-28","713.00","11.43"
"Luxembourg","2022-11-28","174.57","0.86"
"Paraguay","2022-11-28","48.29","1.29"
"Costa Rica","2022-11-28","397.00","1.14"
"Martinique","2022-11-28","88.71","0.43"
"Finland","2022-11-28","1711.14","19.71"
"Slovenia","2022-11-28","1318.57","4.86"
"Lebanon","2022-11-28","47.00","0.71"
"Bermuda","2022-11-28","8.00","0.14"
"North America","2022-11-28","51692.00","316.14"
"Netherlands","2022-11-28","789.14","1.86"
"Hungary","2022-11-28","608.43","6.00"
"New Zealand","2022-11-28","4551.29","3.29"
"Brunei","2022-12-05","435.71","0.14"
"Finland","2022-12-05","1673.43","25.14"
"Lower middle income","2022-12-05","8726.86","76.29"
"Philippines","2022-12-05","1127.00","22.14"
"Ecuador","2022-12-05","1320.43","1.71"
"Pakistan","2022-12-05","19.14","0.43"
"Romania","2022-12-05","272.00","1.86"
"Croatia","2022-12-05","310.57","8.14"
"Aruba","2022-12-05","7.43","6.29"
"Curacao","2022-12-05","6.29","0.29"
"Angola","2022-12-05","19.71","0.43"
"Hungary","2022-12-05","672.00","7.14"
"Martinique","2022-12-05","90.57","2.29"
"Australia","2022-12-05","16002.29","37.00"
"Germany","2022-12-05","28455.29","137.43"
"Argentina","2022-12-05","3874.14","1.00"
"Russia","2022-12-05","6793.00","54.29"
"Austria","2022-12-05","4546.14","6.00"
"Slovenia","2022-12-05","1721.29","5.14"
"China","2022-12-05","263698.86","102.71"
"Honduras","2022-12-05","256.14","0.43"
"India","2022-12-05","204.29","4.29"
"Mauritius","2022-12-05","454.71","0.14"
"Burkina Faso","2022-12-05","53.57","1.14"
"Canada","2022-12-05","2316.14","40.71"
"Portugal","2022-12-05","493.86","10.57"
"Norway","2022-12-05","185.00","9.86"
"Guam","2022-12-05","17.57","0.14"
"High income","2022-12-05","435910.57","1367.57"
"Georgia","2022-12-05","89.00","0.43"
"European Union","2022-12-05","145037.86","486.14"
"Bosnia and Herzegovina","2022-12-05","13.43","1.29"
"France","2022-12-05","61029.14","74.57"
"Lebanon","2022-12-05","61.43","0.29"
"Reunion","2022-12-05","195.14","0.29"
"Madagascar","2022-12-05","19.00","0.14"
"United Kingdom","2022-12-05","4436.14","62.86"
"Switzerland","2022-12-05","2387.86","3.43"
"Italy","2022-12-05","28347.57","96.43"
"Peru","2022-12-05","10216.57","26.14"
"Armenia","2022-12-05","13.00","0.29"
"Netherlands","2022-12-05","798.71","2.43"
"Estonia","2022-12-05","87.86","1.29"
"Europe","2022-12-05","160551.71","632.00"
"Bolivia","2022-12-05","826.57","0.71"
"Oceania","2022-12-05","21802.14","40.86"
"Iran","2022-12-05","43.71","3.00"
"Poland","2022-12-05","441.29","6.14"
"Japan","2022-12-05","123440.86","195.43"
"Trinidad and Tobago","2022-12-05","21.57","0.14"
"Botswana","2022-12-05","58.86","0.14"
"Palau","2022-12-05","3.14","0.29"
"Northern Mariana Islands","2022-12-05","9.29","0.14"
"Africa","2022-12-05","1235.71","16.14"
"United States","2022-12-05","66031.86","433.57"
"Upper middle income","2022-12-05","323627.86","338.00"
"Ukraine","2022-12-05","687.14","7.71"
"Jamaica","2022-12-05","6.43","2.00"
"Thailand","2022-12-05","565.86","15.29"
"Saudi Arabia","2022-12-05","62.14","1.57"
"South America","2022-12-05","48556.43","147.14"
"Panama","2022-12-05","959.71","1.43"
"Puerto Rico","2022-12-05","1392.00","7.29"
"Iceland","2022-12-05","32.57","0.71"
"Tunisia","2022-12-05","10.43","0.14"
"Indonesia","2022-12-05","2655.29","35.14"
"Greece","2022-12-05","6533.00","22.29"
"Sweden","2022-12-05","1376.71","22.57"
"Uruguay","2022-12-05","377.86","1.00"
"Lithuania","2022-12-05","433.43","0.71"
"World","2022-12-05","769153.00","1787.71"
"Iraq","2022-12-05","65.00","0.29"
"Mexico","2022-12-05","2743.29","9.86"
"Kazakhstan","2022-12-05","186.29","0.43"
"Spain","2022-12-05","2546.86","25.43"
"United States Virgin Islands","2022-12-05","12.57","0.14"
"Israel","2022-12-05","1566.71","6.29"
"Belgium","2022-12-05","1387.14","6.43"
"Czechia","2022-12-05","880.14","7.71"
"Costa Rica","2022-12-05","507.43","0.71"
"Asia","2022-12-05","460686.00","444.71"
"Moldova","2022-12-05","47.00","0.29"
"Colombia","2022-12-05","762.29","4.57"
"Latvia","2022-12-05","406.00","1.14"
"Democratic Republic of Congo","2022-12-05","37.43","0.14"
"Sri Lanka","2022-12-05","7.00","0.43"
"Barbados","2022-12-05","75.43","0.14"
"Egypt","2022-12-05","0.43","0.14"
"Singapore","2022-12-05","1236.00","0.29"
"Andorra","2022-12-05","32.43","0.14"
"Slovakia","2022-12-05","116.00","2.86"
"San Marino","2022-12-05","30.14","0.14"
"Afghanistan","2022-12-05","54.43","0.71"
"Vietnam","2022-12-05","416.71","0.14"
"Cyprus","2022-12-05","550.57","0.71"
"Grenada","2022-12-05","1.14","0.14"
"Chile","2022-12-05","3144.43","23.57"
"Morocco","2022-12-05","117.57","0.43"
"Ireland","2022-12-05","300.43","4.86"
"Serbia","2022-12-05","634.71","4.86"
"Low income","2022-12-05","309.14","2.86"
"Luxembourg","2022-12-05","194.71","0.43"
"Bangladesh","2022-12-05","24.14","0.29"
"Brazil","2022-12-05","27738.57","86.14"
"Denmark","2022-12-05","1277.43","7.00"
"Guatemala","2022-12-05","1448.14","1.14"
"Guadeloupe","2022-12-05","41.43","0.29"
"Mozambique","2022-12-05","14.43","0.43"
"South Korea","2022-12-05","60414.14","47.14"
"Liechtenstein","2022-12-05","13.00","0.14"
"North America","2022-12-05","76317.86","506.86"
"Azerbaijan","2022-12-05","50.00","0.43"
"Papua New Guinea","2022-12-05","27.43","0.14"
"Bulgaria","2022-12-05","171.57","1.71"
"Sudan","2022-12-05","4.00","0.29"
"Paraguay","2022-12-05","103.43","2.29"
"Malaysia","2022-12-05","1471.71","7.14"
"New Zealand","2022-12-05","5354.71","3.14"
"Guernsey","2022-12-05","25.71","0.14"
"Martinique","2022-12-12","116.71","0.43"
"Paraguay","2022-12-12","139.71","1.29"
"Russia","2022-12-12","7274.57","55.57"
"World","2022-12-12","2615734.14","2059.14"
"Ireland","2022-12-12","385.57","4.00"
"Romania","2022-12-12","417.71","3.00"
"Guadeloupe","2022-12-12","102.29","0.29"
"High income","2022-12-12","463538.00","1443.57"
"Oceania","2022-12-12","21220.43","43.43"
"Sweden","2022-12-12","1802.29","35.29"
"Azerbaijan","2022-12-12","76.43","1.00"
"Luxembourg","2022-12-12","213.57","0.57"
"Slovenia","2022-12-12","1829.43","8.71"
"Germany","2022-12-12","31777.29","158.57"
"Estonia","2022-12-12","116.57","2.14"
"Mali","2022-12-12","0.57","0.14"
"Croatia","2022-12-12","327.86","7.29"
"Guam","2022-12-12","15.29","0.14"
"Cyprus","2022-12-12","494.29","1.14"
"Panama","2022-12-12","713.00","1.57"
"Latvia","2022-12-12","330.00","2.14"
"Peru","2022-12-12","7904.29","28.14"
"Moldova","2022-12-12","49.00","0.29"
"Brunei","2022-12-12","332.71","0.29"
"Malta","2022-12-12","20.14","0.29"
